WOA_measurement_Species_Plant_Leaf	Rownames	Measurement	Family	Species	Species_short	Gender	Plant	GF	VPL	LL	LW	LA	LV	LLSH	SHL	CSW	CH	MEX	ML	MH	MW	MA	MTC	CS	CL	CW	CA	CV	MV	LVTMV	LVTMVP	LDMC	SLA	DSLM	FSLM	VPL-W	C-W	FLM-W	DLM-W	FSLM-W	DSLM-W	FWPM-W	DWPM-W	FSM-W	DSM-W	BL-W	BSP-W	LDMC-W	CL-C	CW-C	CH-C
WOA_microscopy_Plagiomnium.undulatum_Plant1_f_Leaf1	P. undulatum_f_L1	microscopy	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 1	apocarp	36.13	7826.893	1993.629	13488240.906	384666646.318			2031.368	28.519	TRUE	7826.893	156.555	229.426	28209.76428	8.854131615	square	22.134	12.791	283.104	8073.759	73598268.860	5.227	19.133	85.376	12.29877862094650	0.166	2.035																
WOA_microscopy_Plagiomnium.undulatum_Plant1_f_Leaf2	P. undulatum_f_L2	microscopy	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 1	apocarp	36.13	7732.141	1830.581	11522700.525	328612055.372			2031.368	28.519	TRUE	7732.141	156.555	229.426	28209.76428	8.854131615	square	23.475	13.240	310.806	8863.761	72707291.665	4.520	22.126	85.376	14.39670227729790	0.166	2.035																
WOA_microscopy_Plagiomnium.undulatum_Plant1_f_Leaf3	P. undulatum_f_L3	microscopy	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 1	apocarp	36.13	8108.060	2117.300	14334785.865	408808979.822			2031.368	28.519	TRUE	8108.06	156.555	229.426	28209.76428	8.854131615	square	28.561	16.162	461.603	13164.299	76242153.792	5.362	18.650	85.376	11.57247066340390	0.166	2.035																
WOA_microscopy_Plagiomnium.undulatum_Plant2_f_Leaf1	P. undulatum_f_L4	microscopy	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 2	apocarp	31.86	8415.547	1992.747	15748061.703	449113722.354			2031.368	28.519	TRUE	8415.547	156.555	229.426	28209.76428	8.854131615	square	24.344	13.198	321.305	9163.180	79133532.388	5.675	17.620	85.376	10.53392423889770	0.166	2.035																
WOA_microscopy_Plagiomnium.undulatum_Plant2_f_Leaf2	P. undulatum_f_L5	microscopy	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 2	apocarp	31.86	9008.941	1990.047	15422847.222	439839038.975			2031.368	28.519	TRUE	9008.941	156.555	229.426	28209.76428	8.854131615	square	25.822	14.790	381.894	10891.103	84713367.343	5.192	19.260	85.376	10.75604825108140	0.166	2.035																
WOA_microscopy_Plagiomnium.undulatum_Plant2_f_Leaf3	P. undulatum_f_L6	microscopy	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 2	apocarp	31.86	8937.361	2083.846	14745507.580	420522215.505			2031.368	28.519	TRUE	8937.361	156.555	229.426	28209.76428	8.854131615	square	19.357	10.666	206.462	5888.014	84040282.368	5.004	19.985	85.376	11.25013079331980	0.166	2.035																
WOA_microscopy_Plagiomnium.undulatum_Plant3_f_Leaf1	P. undulatum_f_L7	microscopy	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 3	apocarp	68.62	9860.651	2316.359	20106235.175	573403018.877			2031.368	28.519	TRUE	9860.651	156.555	229.426	28209.76428	8.854131615	square	30.702	14.933	458.458	13074.604	92722213.455	6.184	16.171	85.376	8.25061914600275	0.166	2.035																
WOA_microscopy_Plagiomnium.undulatum_Plant3_f_Leaf2	P. undulatum_f_L8	microscopy	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 3	apocarp	68.62	9955.830	2429.641	19910375.041	567817349.003			2031.368	28.519	TRUE	9955.83	156.555	229.426	28209.76428	8.854131615	square	27.322	12.653	345.696	9858.794	93617205.840	6.065	16.487	85.376	8.33178122196522	0.166	2.035																
WOA_microscopy_Plagiomnium.undulatum_Plant3_f_Leaf3	P. undulatum_f_L9	microscopy	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 3	apocarp	68.62	8870.587	3100.795	20924829.890	596748248.690			2031.368	28.519	TRUE	8870.587	156.555	229.426	28209.76428	8.854131615	square	30.883	18.415	568.700	16218.570	83412389.434	7.154	13.978	85.376	7.92784886476747	0.166	2.035																
WOA_microscopy_Plagiomnium.undulatum_Plant1_m_Leaf1	P. undulatum_m_L1	microscopy	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 1	apocarp	31.08	7082.527	2002.700	11199538.932	433702145.142			2595.057	38.725	TRUE	7082.527	157.919	244.962	30382.46357	10.59371249	square	33.170	18.219	604.330	23402.691	71728206.176	6.046	16.539	77.414	9.36546491116648	0.105	1.380																
WOA_microscopy_Plagiomnium.undulatum_Plant1_m_Leaf2	P. undulatum_m_L2	microscopy	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 1	apocarp	31.08	8259.054	2418.047	16721847.935	647553561.283			2595.057	38.725	TRUE	8259.054	157.919	244.962	30382.46357	10.59371249	square	33.985	17.150	582.837	22570.364	83643469.080	7.742	12.917	77.414	6.27256564565147	0.105	1.380																
WOA_microscopy_Plagiomnium.undulatum_Plant1_m_Leaf3	P. undulatum_m_L3	microscopy	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 1	apocarp	31.08	8867.916	2597.929	18699492.800	724137858.680			2595.057	38.725	TRUE	8867.916	157.919	244.962	30382.46357	10.59371249	square	28.398	15.967	453.436	17559.316	89809711.590	8.063	12.402	77.414	5.60918362924201	0.105	1.380																
WOA_microscopy_Plagiomnium.undulatum_Plant2_m_Leaf1	P. undulatum_m_L4	microscopy	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 2	apocarp	29.58	7804.538	2176.957	14717431.818	569932547.152			2595.057	38.725	TRUE	7804.538	157.919	244.962	30382.46357	10.59371249	square	36.868	19.616	723.215	28006.500	79040363.810	7.211	13.868	77.414	7.12684727783863	0.105	1.380																
WOA_microscopy_Plagiomnium.undulatum_Plant2_m_Leaf2	P. undulatum_m_L5	microscopy	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 2	apocarp	29.58	7358.221	2391.928	15561376.090	602614289.085			2595.057	38.725	TRUE	7358.221	157.919	244.962	30382.46357	10.59371249	square	28.170	15.150	426.771	16526.713	74520293.813	8.087	12.366	77.414	6.74033506305990	0.105	1.380																
WOA_microscopy_Plagiomnium.undulatum_Plant2_m_Leaf3	P. undulatum_m_L6	microscopy	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 2	apocarp	29.58	6831.313	2260.898	13813930.595	534944462.291			2595.057	38.725	TRUE	6831.313	157.919	244.962	30382.46357	10.59371249	square	25.484	13.926	354.894	13743.272	69184039.442	7.732	12.933	77.414	7.59297928765139	0.105	1.380																
WOA_microscopy_Plagiomnium.undulatum_Plant3_m_Leaf1	P. undulatum_m_L7	microscopy	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 3	apocarp	42.55	5183.963	2868.861	13023920.291	504351313.269			2595.057	38.725	TRUE	5183.963	157.919	244.962	30382.46357	10.59371249	square	29.721	17.459	518.909	20094.745	52500522.324	9.607	10.410	77.414	8.05355734258992	0.105	1.380																
WOA_microscopy_Plagiomnium.undulatum_Plant3_m_Leaf2	P. undulatum_m_L8	microscopy	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 3	apocarp	42.55	6967.038	2088.523	13519156.810	523529347.467			2595.057	38.725	TRUE	6967.038	157.919	244.962	30382.46357	10.59371249	square	31.946	18.529	591.917	22921.978	70558592.731	7.420	13.477	77.414	7.75853778183145	0.105	1.380																
WOA_microscopy_Plagiomnium.undulatum_Plant3_m_Leaf3	P. undulatum_m_L9	microscopy	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 3	apocarp	42.55	6314.068	2137.767	12836510.104	497093853.777			2595.057	38.725	TRUE	6314.068	157.919	244.962	30382.46357	10.59371249	square	31.703	18.310	580.488	22479.399	63945646.987	7.774	12.864	77.414	8.17113748511789	0.105	1.380																
WOA_microscopy_Bryum.sp._Plant1_Leaf1	Bryum sp._L1	microscopy	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 1	apocarp	25.7	2400.482	924.818	1663355.844	27413767.665			1126.028	16.481	TRUE	2400.482	50.236	99.888	3941.107224	11.27290565	hexagonal	56.906	20.79	1183.076	19498.271	3153518.984	8.693	11.503	300.444	10.18022294773220	0.017	0.051																
WOA_microscopy_Bryum.sp._Plant1_Leaf2	Bryum sp._L2	microscopy	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 1	apocarp	25.7	2713.835	986.895	2224730.789	36665788.134			1126.028	16.481	TRUE	2713.835	50.236	99.888	3941.107224	11.27290565	hexagonal	42.231	23.237	981.322	16173.164	3565171.575	10.284	9.723	300.444	7.61140782384045	0.017	0.051																
