WOA_microscopy_Species_Plant_Leaf_Cell	WOA_Species	WOA_Species_short	WOA_Gender	WOA_Plant	WOA_GrowthType	WOA_LeafCellShape	WOA_LeafCellLength.[µm]	WOA_LeafCellWidth.[µm]	WOA_LeafCellHeight.[µm]
WOA_microscopy_Plagiomnium.undulatum_Plant1_f_Leaf1_Cell1	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 1	apocarp	square	24.280	13.138	30.102
WOA_microscopy_Plagiomnium.undulatum_Plant1_f_Leaf1_Cell2	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 1	apocarp	square	17.806	13.696	26.468
WOA_microscopy_Plagiomnium.undulatum_Plant1_f_Leaf1_Cell3	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 1	apocarp	square	24.315	11.538	28.986
WOA_microscopy_Plagiomnium.undulatum_Plant1_f_Leaf1_Cell_Average	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 1	apocarp	square	22.134	12.791	28.519
WOA_microscopy_Plagiomnium.undulatum_Plant1_f_Leaf2_Cell1	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 1	apocarp	square	22.926	15.821	30.102
WOA_microscopy_Plagiomnium.undulatum_Plant1_f_Leaf2_Cell2	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 1	apocarp	square	27.825	11.326	26.468
WOA_microscopy_Plagiomnium.undulatum_Plant1_f_Leaf2_Cell3	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 1	apocarp	square	19.675	12.572	28.986
WOA_microscopy_Plagiomnium.undulatum_Plant1_f_Leaf2_Cell_Average	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 1	apocarp	square	23.475	13.240	28.519
WOA_microscopy_Plagiomnium.undulatum_Plant1_f_Leaf3_Cell1	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 1	apocarp	square	20.591	12.036	30.102
WOA_microscopy_Plagiomnium.undulatum_Plant1_f_Leaf3_Cell2	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 1	apocarp	square	37.138	19.030	26.468
WOA_microscopy_Plagiomnium.undulatum_Plant1_f_Leaf3_Cell3	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 1	apocarp	square	27.954	17.420	28.986
WOA_microscopy_Plagiomnium.undulatum_Plant1_f_Leaf3_Cell_Average	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 1	apocarp	square	28.561	16.162	28.519
WOA_microscopy_Plagiomnium.undulatum_Plant2_f_Leaf1_Cell1	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 2	apocarp	square	22.404	17.762	30.102
WOA_microscopy_Plagiomnium.undulatum_Plant2_f_Leaf1_Cell2	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 2	apocarp	square	27.149	12.166	26.468
WOA_microscopy_Plagiomnium.undulatum_Plant2_f_Leaf1_Cell3	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 2	apocarp	square	23.480	9.667	28.986
WOA_microscopy_Plagiomnium.undulatum_Plant2_f_Leaf1_Cell_Average	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 2	apocarp	square	24.344	13.198	28.519
WOA_microscopy_Plagiomnium.undulatum_Plant2_f_Leaf2_Cell1	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 2	apocarp	square	24.361	16.594	30.102
WOA_microscopy_Plagiomnium.undulatum_Plant2_f_Leaf2_Cell2	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 2	apocarp	square	27.248	14.874	26.468
